127.0.0.1 - - [12/Jun/2023:16:26:29 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Jun/2023:16:26:30 +0530] "GET /ServletTutorial/ HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [12/Jun/2023:16:26:30 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Jun/2023:16:26:47 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [12/Jun/2023:16:27:04 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [12/Jun/2023:16:27:07 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [12/Jun/2023:16:27:13 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:17:28 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:18:09 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:18:34 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:22:33 +0530] "GET /ServletTutorial/HelloWorld2 HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:23:13 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:24:01 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:47:39 +0530] "GET /ServletTutorial HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:47:39 +0530] "GET /ServletTutorial/ HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:49:37 +0530] "GET /ServletTutorial/ HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:49:57 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:50:07 +0530] "GET /ServletTutorial HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:50:07 +0530] "GET /ServletTutorial/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:52:49 +0530] "GET /ServletTutorial/HelloWorld1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [12/Jun/2023:17:53:24 +0530] "GET /ServletTutorial/HelloWorld HTTP/1.1" 200 44
